Anomia67	Powles67	Anomia71	Powles71	Educ	SEI
1.06	2.06	-0.81	-2.61	7.3	25.06
7.22	3.08	4.04	8.33	8.41	23.4
2.17	-0.62	-0.49	0.19	7.91	25.32
2.42	3.17	3.33	0.19	5.74	20.77
6.07	5.53	8.57	7.55	0.3	17.38
6.02	2.81	9.78	5.82	7.25	21.25
7.98	3.38	2.47	0.69	0.1	22.61
0.87	2.02	0.01	-1.87	4.25	26.77
5.6	6.8	8.63	6.92	-1.58	17.46
5.17	5.8	6.01	4.34	1.06	19
1.36	0.77	2.71	3.92	6.63	23.77
-2.69	0.33	-1.8	0.15	3.27	20.01
3.94	4.29	2.2	3.55	1.14	20.26
4.43	-2.59	3.05	-2.24	1.64	18.84
2.54	-1	1.89	1.7	0.03	23.41
5.64	1.92	6	5.53	2.77	20.35
3.25	1.38	3.99	4.5	5.45	21.22
1.97	4.57	1.01	4.22	-1.11	21.62
3.52	1.47	3.02	0.41	8.61	22.52
3.87	4.21	1.22	1.95	4.73	24.3
4.34	5.04	4.34	4.94	4.49	20.33
-1.6	-0.02	-0.92	1.1	7.99	21.59
6.48	4.14	4.34	-1.25	2.94	22.83
5.06	4.37	3.51	3.32	1.78	20.11
5.45	6.01	7.24	6.32	0.98	20.44
0.72	-0.14	0.93	-3.41	5.6	22.14
4.21	-0.01	2.79	3.64	3.79	22.54
6.54	4.34	5.59	5.61	-3.19	19.09
1.78	-0.16	1.56	2.49	5.25	21.65
-2.04	1.94	2.53	4.62	3.64	22.03
5.35	3.09	-0.1	1.3	0.23	20.35
1.33	1.07	0.83	1.87	1.63	22.94
5.21	3.74	6.92	4.01	5.34	22
0.64	-0.41	-0.13	-0.7	7.05	22.08
4.49	3.47	4.91	6.23	2.51	20.85
-3.25	-1.47	1.87	6.8	6.68	25.18
6.48	5.71	6.32	3.68	4.04	19.79
7.43	7.58	8.49	7.46	1.81	21.48
4.8	2.28	9.83	4.83	-3.25	17.71
8.73	3.31	6.45	4.93	0.74	20.08
1.91	0.1	3.57	3	7.28	22.18
14.21	5.83	4.98	3.26	4.66	22.2
-6.41	-4.95	-0.78	-1.28	8.34	22.7
7.26	4.62	2.29	-0.32	0.67	23.85
4.58	5.78	3.52	3.56	0.91	19.43
-4.14	-0.47	-0.58	-0.13	5.75	25.17
-3.95	-3.08	-5.01	-4.06	5.16	26.25
4.65	1.25	2.05	-3.43	1.93	19.71
5.58	3.92	7.29	0.95	0.64	19.43
3.24	-1.99	-3.09	-3.24	1.06	23.48
4.1	5.05	7.5	8.9	0.53	19.25
6.3	3.79	9.49	2.37	0.92	21.03
9.53	4.8	8.18	7.95	2.4	18.11
2.97	5.57	4.45	4.65	-4.27	17.05
11.85	9.09	13.23	7.81	-0.13	21.38
-6.58	2.85	-3.31	-2.31	5.77	21.47
8.16	6.77	-0.59	1.62	5.52	22.24
-1.88	2.57	3.34	2.76	5.28	24.27
8.1	7.83	7.19	5.46	-6.23	19.97
1.69	-0.12	3.21	4.14	-0.81	18.54
4.94	8.1	0.34	4.8	0.03	20.77
0.43	2.84	1.12	1.17	5.59	22.62
8.74	9.62	8.55	5.2	-2.24	22.16
2.28	2.47	-1.27	4.36	1.64	21.18
0.26	-4.41	3.59	0.84	9.06	21.79
0.17	1.83	3.68	4.74	2.64	21.77
2.78	3.37	7.43	1.97	0.33	19.25
-3.32	2.97	0.76	2.02	5.8	22.35
6.29	5.56	-0.51	1.91	-2.99	19.4
1.32	2.67	8.29	1.77	6.2	20.74
2.37	4.41	10.38	7.75	-1.95	16.44
3.83	1.32	4.48	4.41	6.55	23.63
4.39	3.51	-1.15	-1.86	2.37	19.29
-2.63	1.65	-5.05	1.3	9.08	24.59
-1.07	-0.07	6.66	5.07	2.96	22.79
3.64	1.87	5.97	8.05	-4.13	16.54
1.15	3.8	0.11	3.09	2.63	20.05
5.96	4.42	8.35	1.93	0.42	20.3
5.03	3.25	5.77	4.46	-0.08	20.55
1.47	6.42	0.42	3.54	1.73	21.96
4.17	2.98	3.59	4.79	3.55	20.57
8.15	4.74	5.75	3.89	1.34	19.17
1.26	3.94	0.95	1.98	5.35	22.62
3.97	2.29	1.57	-2.22	2.52	21.08
0.72	-3.9	1.14	-0.03	1.85	20.16
6.18	3.13	3.31	5.33	-0.23	24.03
-1.86	-2.67	1.78	1.66	5.49	21.58
3.77	1.8	8	6.25	0.72	19.27
5.61	4.01	3.11	-0.64	1.45	18.97
1.42	0.98	0.82	1.95	2.67	17.99
0.16	-4.78	5.77	0.4	4.54	21.99
0.4	2.12	5.85	5.3	1.58	20.09
10.58	4.87	7.22	6.72	-1.23	17.19
2.89	3.06	8.4	7.07	-0.59	20.42
-0.1	2.52	-2.12	3.02	1.92	21.24
3.8	4.4	1.62	1.22	1.55	20.71
8.97	5.54	11.1	13.63	4.66	20.6
3.14	3.72	4.84	7.46	8.65	22.08
1.84	2.04	4.48	5.2	0.84	20.22
3.45	8.25	5.51	3.66	2.13	21.29
4.44	8.21	3.72	5.6	-0.55	17.81
2.99	4.37	2.47	4.7	6.96	18.63
1.83	5.56	2.41	1.19	3.59	23.7
11.67	7.96	8.23	7.62	-2.2	24.3
10.75	7.82	7.01	6.56	-2.28	16.01
0.58	0.85	-5.62	0.24	3.17	24.6
3.17	8.07	2.58	-0.85	6.17	21.29
3.02	3.34	-0.7	3.31	3.25	20.34
1.29	-1.53	3.46	1.73	0.41	22.15
5.66	1.61	4.69	4.66	3.9	22.73
3.56	2.02	5.48	5.34	4.12	21.65
4.2	1.24	3.24	3.28	-1.56	22.15
2.9	1.53	4.4	4.86	3.51	21.63
8.22	7.77	4.49	2.32	5.43	22.42
10.5	7.43	11.87	8.83	1.8	19.87
3.35	2.78	3.4	4.06	3.68	23.24
1.42	-1.31	-1.65	-4.18	10.09	21.8
4.96	2.53	4.97	0.42	9.65	22.93
3.92	3.68	1.92	3.76	2.18	19.1
3.05	6.42	1.59	2.23	-0.85	18.57
5.7	6.64	7.69	3.6	-4.25	19.47
3.68	4.44	8.43	5.81	0.1	21.72
5.7	4.64	5.65	2.27	0.81	19.61
7.84	4.46	7.14	7.1	0.75	20.62
1.8	8.33	7.06	3.94	0.57	20.94
2.95	4.09	4.11	6.15	4.92	20.47
0.99	4.83	1.83	3.04	4.09	20.71
-3.77	0.12	4.77	4.59	3.85	18.49
10.07	8.51	4.9	7.46	0.01	19.82
0.92	-5.62	-1.43	-0.63	4.57	23.93
6.36	1.74	3.08	5.5	2.86	19.6
0.91	0.66	-2.35	-3.09	4.9	22.56
5.29	3.51	10.47	5.07	1.73	17.32
2.22	3.23	-0.23	1.32	7.52	25.08
1.47	-1.4	-1.09	-1.02	6.91	23.36
6.85	8.21	7.4	5.68	2.4	21.22
-1.41	0.91	1.3	-0.67	5.14	19.86
4.13	4.87	2.78	3.44	1.77	23.95
6.03	4.86	7.75	7.64	1.43	18.03
6.6	7.89	7.75	5.43	-0.57	15.77
1.98	1.21	-0.39	1.14	5.48	20.34
7.35	3.97	4.27	0.19	2.43	20.92
-3.84	0.79	-1.32	0.28	3.59	25.55
0.91	1.53	3.92	0.65	0.32	24.48
7.02	-0.66	4.97	3.46	4.39	20.62
5.63	4.7	4.6	4.06	7.17	22.17
5.43	1.71	7.27	4.25	9.15	21.73
2.68	2.95	5.55	5.6	4.13	20.22
11.47	7.68	8.82	3.81	4.65	18.84
0.65	3.44	4.36	3.84	1.62	23.33
0.37	-0.61	-5.28	-2.62	2.3	24.55
-0.62	2.27	1.92	-1.62	3.69	21.58
4.1	6.01	5.38	3.51	0.76	17.96
3.24	1.5	4.3	1.26	-0.87	22.56
5.88	3.51	3.68	3.68	-1.47	20.35
-0.32	3.55	-4.82	-5.51	4.66	22.01
10.93	5.73	7.83	9.28	-1.7	15.74
6.63	3.91	3.73	8.14	4.84	15.02
1.82	4.62	10.74	6.64	2.3	20.86
0.67	-0.45	0.68	2.15	1.9	21.91
-2.12	4.72	4.63	5.19	5.11	20.56
8.84	5.3	3.15	2.32	3.25	21.15
3.7	5.56	2.2	1.93	4.25	21.29
3.6	3.5	0.66	3.1	1.66	20.69
3.7	1.95	2.67	3.93	5.74	21.98
2.31	5.35	1.87	3.73	2.44	20.46
5.52	6.78	4.71	5.87	0.5	21.06
7.84	0.58	2.26	2.72	3.42	21.41
1.46	1.15	-6.18	-3.42	7.86	24.7
1.02	0.79	0.23	0.38	4.26	24.43
2.76	0.92	5.81	6.41	0.02	18.95
2.44	10.28	7.67	2.94	0.39	20.87
3.07	2.73	-3.98	-3.11	2.58	19.2
2.34	3.37	0.12	-2.78	2.43	21.35
3.42	2.79	3.52	4.17	4.39	21.16
3.71	3.49	5.13	5.7	-0.27	21.07
9.98	8.19	11.41	7.22	6.66	21.79
8.62	5.12	7.68	2.7	5.77	22.62
8.76	1.6	-1.42	3.95	4.95	20.13
3.9	4.56	7.21	7.42	1.56	22.6
-1.06	-0.22	-3.03	-0.88	4.35	25.99
4.52	2.79	3.8	6.76	-3.95	18.43
5.9	8.55	8.54	6.06	0.67	21.26
0.44	0.34	0.7	0.38	7.96	23.51
4.02	2.8	-1.33	0.31	11.17	28.08
5.21	3.31	2.35	5.68	4.85	22.15
7.89	7.62	5.99	5.55	3.11	22.85
-2.83	-4.26	-0.46	2.95	2.77	21.06
7.87	6.3	6.66	9.42	-0.71	21.08
2.97	4.56	1.51	2.08	7.07	23.61
10.16	7.89	5.16	3.96	0.81	20.67
-4.38	-0.87	-7.22	-3.51	11.5	23.9
1.7	2.22	7.16	5.36	4.27	21.4
2.88	4.55	-0.86	2.06	2.18	21.23
3.59	6.43	1.67	3.97	-0.71	21.23
6.7	5.4	4.03	0.96	3.65	20.88
3.84	4.99	1.42	4.8	2.78	21.56
1.55	1.92	3.61	1.14	-0.59	20.5
-3.53	-5.35	-3	0.4	9.73	22.31
-3.77	1.99	-4.78	-0.27	9.31	21.17
-0.31	1.32	2.53	4.8	6.4	22.38
3.03	4.34	4.41	4.34	5.19	23.3
3.1	6.13	0.12	-1.7	0.55	18.99
7.1	4.69	5.21	2.92	-0.98	19.89
1.38	0.09	-0.48	-2.66	3.96	22.32
3.41	1.41	7.29	4.49	0.2	22.74
3.7	4.99	4.43	4.98	5.35	21.63
9.62	7.73	11.02	10.63	-3.19	20.09
4.69	3.74	3.56	4.37	3.64	21.12
4.37	5.93	6.73	5.66	2.94	22.88
7.01	5.06	3.71	5.03	2.76	19
7.92	6.49	7.82	9.14	1.99	23.03
2.25	6.07	8.38	5.84	6.22	22.03
4.41	-1.2	-0.91	-0.71	4.55	22.76
6.63	6.45	5.58	10.31	0.57	17.6
0.84	4.05	4.25	5.65	-1.63	18.71
5.57	5.26	1.09	3.68	1.51	19.35
2.36	-0.55	3	-0.46	4.96	22.29
-2.32	-1.52	-2.02	-0.19	10.34	23.1
7.73	2.88	6.09	3.39	3.84	21.3
9.01	0.51	5.26	7.61	4.45	20.7
4.71	7.33	11.06	7.83	1.05	23.5
1.97	1.59	2.94	4.87	0.84	22.02
8.15	5.97	6.77	4.1	0.64	16.66
1.04	2.54	6.97	7.14	4.23	20.86
2.6	1.53	3.66	3.73	5.35	24.3
3.87	7.12	4.28	8.79	5.74	22.3
2.31	5.7	5.33	4.15	2	20.3
-1.32	-0.5	-1.59	3.81	6.01	24.84
3.04	2.17	4.51	2.18	2.75	21.15
1.65	1.03	1.31	-0.54	2.12	20.8
5.76	1.79	6.76	2.18	1.71	20.82
1.25	-0.26	3.58	0.34	4.37	18.65
6.21	7.48	10.88	7.42	1.65	20.72
5.78	3.11	3.65	6.93	0.55	22.4
2.48	2.53	3.21	0.56	2.64	17.78
8.27	1.78	0.27	-2.6	4.94	23.01
4.82	3.07	3.01	-1.25	2.68	20.94
-1.87	0.35	-1.33	-0.47	4.26	22.09
7.62	5.36	2.66	5.25	0.51	20.18
6.78	4.53	1.65	2.15	2.23	21.09
10.08	7.65	4.96	8.16	4.55	24.99
4.77	7.13	3.83	3.76	8.16	22.82
-2.29	-1.97	-1.18	-3.87	4.82	22.94
9.08	1.44	7.14	3.34	2.71	24.73
0.89	1.38	2.89	5.15	1.93	20.39
5.85	5.37	3.63	1.06	-0.04	20.6
1.88	-1.4	5	3.23	7.5	23.59
12.09	6.4	7.97	6.55	0.46	19.78
1.05	-3.46	0.81	-0.64	5.08	22.21
-0.28	-1.14	5.9	7.18	6.9	22.66
6.25	3.79	5.51	-1.58	1.38	20.12
5.6	6.63	3.55	2.42	4	21.37
1.69	0.39	1.38	1.17	4.34	22.37
7.73	3.28	2.58	9.31	0.62	20.18
1.82	2.41	3.16	5.01	2.41	20.66
2.7	1.55	4.97	5.6	-3.12	20.46
2.13	5.38	4.17	2.72	-0.4	19.65
3.65	3.83	7.19	8.45	-1.53	18.02
1.98	6.47	2.36	5.95	4.81	20.32
6.81	5.66	6.94	2.58	-1.01	19.78
9.15	5.04	3.51	-0.03	1.57	20.64
-0.65	4.62	1.53	1.65	2.5	25.65
2.66	2.76	6.07	3.47	5.83	21.96
1.35	1.48	1.45	2.72	8.44	21.03
1.01	-0.63	7.5	4.18	1.48	21.17
5.2	1.64	0.92	0.61	3.88	21.21
4.35	-1.26	2.43	-0.07	2.05	18.66
0.75	5.39	4.13	6.27	0.63	23.75
6.5	4.97	7.12	7.72	6.88	23
1.75	1.94	0.55	4.18	-2.2	19.15
1.95	4.08	0.8	0.31	2.07	19.65
0.44	5.35	4.86	6.62	1.9	20.88
5.88	5.29	-0.19	0.57	-1.54	18.09
3.78	0.01	5.07	7.79	2.46	21.08
2.33	2.9	0.78	3.31	1.91	22.12
3.62	4.98	1.18	3.95	4.12	24.01
3.94	4.19	6.55	2.59	1.81	19.44
1.28	1.68	2.44	3.27	2.09	22.41
2.55	3.41	4.75	2.42	3.68	19.22
3.11	0.58	0.06	2.28	2.27	18.87
-0.5	-0.25	4.2	-0.52	1.44	21.14
0.04	0.24	2.82	0.24	9.25	23.83
-1.99	-0.45	2.76	2.76	5.28	23.36
1.81	5.19	-0.62	2.09	5.61	17.66
8.75	5.72	6.85	10.28	2	19.51
5.41	0.72	6.92	-0.63	7.85	24.58
0.54	1.24	4.07	-0.61	5.33	19.27
8.31	8.09	7.68	8.68	3.86	19.37
1.95	1.9	-2.97	1.08	5.23	23.04
4.72	-0.98	0.13	0.71	8.12	22.24
8.36	6.13	6.76	7.44	-1.79	18.98
3.98	-0.02	0.18	-0.93	3.59	21.34
5.35	4.09	0.56	1.13	9.45	24.14
0.55	1.93	4.8	0.65	-5.14	17.12
6.4	9.96	4.87	7.28	-3.25	19.61
4.05	3.75	0.17	2.61	5.38	22.08
-1.78	-3.32	-0.95	-0.2	4.77	22.46
-0.28	-3.53	-0.55	0.98	6	25.07
2.89	-2.78	-0.34	-1.91	3.84	21.2
6.18	3.93	9.13	6.6	0.17	19.02
1.06	0.43	-1.92	-3.68	2.98	23.15
-0.14	3.11	-2.88	5.61	8.28	25.08
4.23	0.11	8.92	4.72	7.11	20.27
10.92	9.03	5.99	0.53	4.04	23.22
10.49	10.24	10.1	9.85	-1.07	18.95
1.59	0.18	0.02	-1.67	2.43	18.22
5.14	1.54	6.09	4.07	2.53	19.5
-0.15	1.85	-1.06	0.82	1.65	21.1
10.35	6.94	10.16	5.23	8.16	20.42
10.54	5.61	5.4	6.11	-1.57	18.29
2.82	2.33	0.87	1.04	4.38	22.23
2.53	6.78	5.39	3.15	1.14	21.8
5.48	1.33	4.49	-1.86	7.37	27.64
6.35	5.11	6.98	5.47	4.07	23.42
7.47	4.75	2.73	5.03	1.32	21.5
2.58	3.54	1.05	1.23	-0.91	18.84
3.41	4.59	1.02	5.52	2	18.6
-0.79	-0.68	2.48	1.99	8.83	24.24
4.34	3.03	3.83	4.61	-0.92	21.45
9.17	7.55	5.23	7.14	-1.41	20.2
3.61	4.83	6.12	4.11	-1.57	24
7.31	6.98	5.36	6.04	6.95	21.65
-3.46	-3.02	-3.96	0.65	3.45	23.34
6.04	1.8	2.39	3.07	1.54	17.26
0.21	2.65	3.11	4.22	1.62	18.29
2.27	5.99	-2.27	0	5.56	20.97
0.96	3.41	4.83	5.66	4.26	21.9
5.56	3.63	3.68	5.87	3.33	22.9
6.47	3.84	10.38	3.69	5.72	21.87
3.02	1.43	11.38	8.52	4.14	18.8
6.99	4.89	9.19	5.76	2.84	19.16
1.88	1.66	1.4	-0.71	1.64	20.75
-0.96	0.37	0.93	0.34	4.81	21.45
0.76	-6.36	-1.39	-2.73	5.44	23.23
7.04	6.18	6.1	5.8	1.76	21.88
7.17	5.64	5.89	4.34	2.83	21.12
1.27	1.68	1.55	7.09	1.78	18.71
4.45	4.12	4.6	-1.5	5.82	20.57
1.5	-1.48	-0.05	2.34	5.52	24.89
-0.91	2.23	1.95	0.45	1.66	18.87
2.53	1.3	-0.01	1.48	0	23.42
8.96	6.57	8.78	5.13	-1.18	17.4
-1.32	-1.02	1.34	1.39	0.25	18.84
8.66	6.02	6.29	5.52	-3.22	21.08
3.93	4.44	7.16	2.21	3.84	22.33
-5.74	-1.89	-2.89	-1.35	5.73	22.79
3.52	7.81	6.5	3.5	1.53	21.58
-2.41	1.51	0.05	3.65	6.99	24.25
-4.95	-1.29	-4.03	-3.11	7.84	22.35
2.84	6.58	4.78	3.8	-1.34	20.11
6.34	2.26	4.21	2.68	2.14	24.43
2.32	1.4	-0.15	0.84	4.43	21.9
7.39	10	9.86	8.6	0.24	16.87
1.58	1.55	1.23	-0.08	4.88	21.6
3.74	3.92	3.93	4.17	-0.32	21.85
7.75	8.67	4.91	4.82	-1.88	19.16
0.37	3.15	2.39	3.18	5.76	22.76
2.06	1.31	3.45	0.46	2.02	19.29
10.02	7.95	7.88	4.55	1.54	18.61
1.3	0.65	8.32	5.54	4.47	21.5
2.52	5.42	3.63	3.13	5.22	20.45
6.27	7.43	4.38	7.11	-1.39	17.11
7.1	4.87	5.04	-3.18	0.79	21.85
2.44	4.16	3.27	3.48	7.81	22.95
5.84	5.42	7.34	8.56	1.09	20.28
7.2	4.75	3.67	3.27	3.61	19.76
3.76	0.34	-0.94	2.34	5.9	24.7
5.49	2.93	6.73	6.27	0.46	18.03
-2.73	1.94	2.09	0.38	-0.51	19.88
1.72	4.48	5.57	4.39	3.25	21.8
3.29	1.14	4.25	1.26	5.73	24.19
2.48	1.84	9.8	7.72	2.58	21.66
3.29	6.85	7.6	9.42	-2.39	17.51
-3.98	0.42	3.39	7.58	-2.04	18.64
-2.21	1.87	-1.4	-0.38	2.7	20.45
2.71	5.99	7.42	6.69	-0.46	20.46
9.61	6.7	7.52	5.84	2.66	18.78
3.75	5.82	3.84	6.47	0.49	19.95
3.91	0.01	-0.66	-1.55	6.23	20.09
1.21	2.36	1.27	3.01	1.01	21.58
-0.19	0.26	2.44	3.19	5.74	24.87
1.73	4.52	5.98	2.19	-0.92	19.27
0.93	-2.01	-2.67	-1.21	3.57	21.09
6.81	3.83	9.5	5.56	3.38	20.56
6.73	6.15	5.81	0.8	0.95	19.66
3.84	3.97	0.75	4.53	-3.74	23.35
8.46	4.76	6.28	4.78	1.97	18.2
4.69	-1.68	1.19	-0.14	5.23	25.91
3.9	6.84	-0.66	-2.03	-0.26	20.72
4.41	1.17	0.6	0.7	5.05	23.33
-0.5	0.27	-0.59	1.47	5.69	21.87
5.04	3.86	4.58	6.06	0.01	22.39
1.06	-0.22	3.9	-0.1	2.76	22.87
3.34	1.81	7.51	8.69	-0.19	19.98
-1.69	-1.23	1.37	3.34	5.48	24.35
8.25	4.64	2.13	2.1	2.86	22.09
-4.66	-2.24	-2.41	4.31	7.5	24.58
11.19	10.01	8.02	7.79	-1.48	20.05
4.2	3.71	10.08	3.1	0.46	21.72
-1.28	1.07	4.64	0.79	3.72	23.12
4.44	2.08	3.33	3.49	0.43	19.29
0.46	-0.99	-3.69	-4.82	4.53	20.42
-1.32	4.58	-0.88	0.58	3.93	21.72
5.32	4.58	3.62	4.79	0.88	21.61
2.13	5.81	2.02	2.93	4.16	22.46
3.26	7.36	5.2	3.34	7.63	22.28
4.97	1.85	6.44	5.36	5.42	22.09
7.98	5.05	4.2	4.97	-3.71	17.31
-7.91	-5.31	-3.5	-0.61	9.81	22.81
3.44	3.95	-0.48	2.55	2.25	23.25
4.43	3.75	6.87	8.66	3.68	21.46
2.18	2.8	2.11	6.36	6.48	21.68
-4.01	-5.82	-1.5	-4.44	12.76	25.92
7.12	9.13	5.99	7.91	-1.47	20.6
6.72	8.57	1.07	1.76	-0.51	19.61
-0.36	-0.41	3.15	4.03	6.74	23.18
0.43	-0.19	2.03	5.94	2.57	20.38
